cardinality,distribution_normal,distribution_skewed,distribution_uniform,method_cl,method_mr,method_original,method_rl,method_rs,method_sp,build_cost,query_cost
400,0,0,1,0,0,0,1,0,0,3,5
800,0,0,1,0,0,1,0,0,0,2,2
6400,1,0,0,0,0,0,0,0,1,4,1
16,0,0,1,0,0,0,0,0,1,5,3
8,0,0,1,0,1,0,0,0,0,6,1
1600,1,0,0,0,1,0,0,0,0,5,1
1,1,0,0,1,0,0,0,0,0,1,4
64,0,0,1,0,0,0,0,0,1,5,3
1,0,0,1,1,0,0,0,0,0,3,1
1600,0,1,0,0,0,0,1,0,0,3,4
6400,0,0,1,0,1,0,0,0,0,5,2
16,1,0,0,0,0,0,0,1,0,3,5
128,0,0,1,0,1,0,0,0,0,6,1
4,0,0,1,1,0,0,0,0,0,2,3
1,1,0,0,0,1,0,0,0,0,5,5
16,0,1,0,0,0,0,0,1,0,4,6
400,1,0,0,0,0,0,0,0,1,4,3
2,0,1,0,0,0,0,0,0,1,4,3
32,0,1,0,0,0,0,0,1,0,4,5
3200,0,0,1,0,0,0,0,1,0,3,4
64,0,1,0,0,0,0,0,1,0,4,3
128,0,1,0,0,0,0,0,1,0,4,6
800,0,0,1,0,0,0,0,1,0,3,5
1600,1,0,0,0,0,0,0,1,0,3,5
64,0,0,1,0,0,0,1,0,0,2,4
64,1,0,0,0,1,0,0,0,0,5,1
400,0,0,1,0,0,1,0,0,0,2,3
1,0,0,1,0,0,1,0,0,0,2,2
1600,0,0,1,0,0,0,0,0,1,4,1
400,0,1,0,1,0,0,0,0,0,1,4
3200,0,1,0,0,0,0,0,1,0,3,5
16,0,0,1,0,1,0,0,0,0,6,1
200,0,1,0,0,1,0,0,0,0,6,2
16,0,0,1,0,0,0,1,0,0,1,5
6400,0,1,0,0,0,1,0,0,0,2,6
3200,0,1,0,0,0,1,0,0,0,2,6
800,1,0,0,0,1,0,0,0,0,5,1
32,0,0,1,1,0,0,0,0,0,1,4
32,0,0,1,0,0,1,0,0,0,3,5
2,0,1,0,0,1,0,0,0,0,6,5
6400,1,0,0,1,0,0,0,0,0,1,3
1,0,0,1,0,0,0,0,0,1,4,3
6400,0,0,1,0,0,0,0,0,1,4,1
2,0,0,1,0,0,0,1,0,0,1,1
1,0,1,0,0,1,0,0,0,0,6,6
16,0,1,0,0,0,0,1,0,0,1,5
3200,1,0,0,0,1,0,0,0,0,5,1
2,0,0,1,0,0,0,0,1,0,5,2
200,0,0,1,0,0,1,0,0,0,2,5
32,0,0,1,0,0,0,0,0,1,5,3
128,1,0,0,0,0,1,0,0,0,2,4
3200,1,0,0,0,0,0,0,0,1,4,2
8,0,1,0,0,0,0,1,0,0,1,4
3200,0,1,0,1,0,0,0,0,0,1,4
800,0,0,1,0,1,0,0,0,0,5,3
64,1,0,0,0,0,0,0,1,0,3,4
16,1,0,0,1,0,0,0,0,0,1,3
64,0,1,0,0,1,0,0,0,0,6,5
16,1,0,0,0,0,0,0,0,1,4,2
2,0,1,0,0,0,0,1,0,0,1,4
1600,1,0,0,1,0,0,0,0,0,1,4
6400,0,0,1,0,0,0,0,1,0,3,4
1,1,0,0,0,0,1,0,0,0,2,2
128,0,1,0,0,0,0,0,0,1,5,3
32,0,1,0,1,0,0,0,0,0,1,3
32,0,0,1,0,0,0,1,0,0,2,2
200,1,0,0,0,0,0,0,1,0,3,5
128,0,0,1,0,0,0,1,0,0,2,5
3200,0,1,0,0,1,0,0,0,0,6,1
6400,0,0,1,1,0,0,0,0,0,1,3
200,1,0,0,0,0,1,0,0,0,2,2
200,0,1,0,0,0,0,0,0,1,5,1
200,0,0,1,0,0,0,0,0,1,5,4
32,0,1,0,0,0,0,1,0,0,2,6
1600,1,0,0,0,0,1,0,0,0,2,2
